usageKey,canonicalName,vernacularName,primaryImageUrl,secondaryImageUrl,primarySourceUrl,secondarySourceUrl,primaryGbifId,secondaryGbifId,primarySource,secondarySource,primaryLicense,secondaryLicense,primaryVisualRole,secondaryVisualRole,primaryExplicitVisualRoleField,secondaryExplicitVisualRoleField,sameImageUrl,sameGbifId,visualRoleReviewStatus,reviewerVisualVariety,reviewerNotes
2891480,Geranium viscosissimum,sticky purple geranium,https://inaturalist-open-data.s3.amazonaws.com/photos/634693938/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/637907895/original.jpg,https://www.gbif.org/occurrence/6195585188,https://www.gbif.org/occurrence/6234988555,6195585188,6234988555,gbif,gbif,CC BY,CC BY,,,,,False,False,needs_manual_classification,,
2891760,Oxalis montana,white wood-sorrel,https://inaturalist-open-data.s3.amazonaws.com/photos/643204222/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/643204274/original.jpg,https://www.gbif.org/occurrence/6235646380,https://www.gbif.org/occurrence/6235646380,6235646380,6235646380,gbif,gbif,CC0,CC0,,,,,False,True,needs_manual_classification,,
2891767,Impatiens pallida,pale jewelweed,https://inaturalist-open-data.s3.amazonaws.com/photos/660984861/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/651514164/original.jpg,https://www.gbif.org/occurrence/6320269765,https://www.gbif.org/occurrence/6252924234,6320269765,6252924234,gbif,gbif,CC0,CC BY,,,,,False,False,needs_manual_classification,,
2891769,Impatiens aurella,pale yellow jewelweed,https://inaturalist-open-data.s3.amazonaws.com/photos/237760741/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/237760764/original.jpg,https://www.gbif.org/occurrence/3947286769,https://www.gbif.org/occurrence/3947286769,3947286769,3947286769,gbif,gbif,CC BY,CC BY,,,,,False,True,needs_manual_classification,,
2891774,Impatiens capensis,spotted jewelweed,https://inaturalist-open-data.s3.amazonaws.com/photos/627704882/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/627704928/original.jpg,https://www.gbif.org/occurrence/6184759578,https://www.gbif.org/occurrence/6184759578,6184759578,6184759578,gbif,gbif,CC0,CC0,,,,,False,True,needs_manual_classification,,
2913130,Galium palustre,marsh bedstraw,https://inaturalist-open-data.s3.amazonaws.com/photos/608556453/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/608556458/original.jpg,https://www.gbif.org/occurrence/6130406085,https://www.gbif.org/occurrence/6130406085,6130406085,6130406085,gbif,gbif,CC0,CC0,,,,,False,True,needs_manual_classification,,
2913463,Galium triflorum,three-flowered bedstraw,https://inaturalist-open-data.s3.amazonaws.com/photos/616256249/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/616256247/original.jpg,https://www.gbif.org/occurrence/6159142038,https://www.gbif.org/occurrence/6159142038,6159142038,6159142038,gbif,gbif,CC BY,CC BY,,,,,False,True,needs_manual_classification,,
2913548,Galium aparine,annual bedstraw,https://inaturalist-open-data.s3.amazonaws.com/photos/604866682/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/605349660/original.jpg,https://www.gbif.org/occurrence/5938166987,https://www.gbif.org/occurrence/5938229416,5938166987,5938229416,gbif,gbif,CC0,CC0,,,,,False,False,needs_manual_classification,,
2913903,Galium lanceolatum,lance-leaved wild licorice,https://inaturalist-open-data.s3.amazonaws.com/photos/660988739/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/672907241/original.jpg,https://www.gbif.org/occurrence/6320087042,https://www.gbif.org/occurrence/6400158648,6320087042,6400158648,gbif,gbif,CC0,CC BY,,,,,False,False,needs_manual_classification,,
2913914,Galium asprellum,rough bedstraw,https://inaturalist-open-data.s3.amazonaws.com/photos/533639082/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/533639914/original.jpg,https://www.gbif.org/occurrence/5231586004,https://www.gbif.org/occurrence/5231586004,5231586004,5231586004,gbif,gbif,CC BY,CC BY,,,,,False,True,needs_manual_classification,,
